Date,CNR,BB,MFC,XIT,XUT,XMA,XCG,XCS,XDV,XIN,XSP,XLB,XSB,XCB
2013-04-24,0.00923664,0.034014616,0.017129527,0.01936444,0.005885628,0.046028543,0.016922653,0.013853593,0.005519777,0.008455598,0,0.001276774,0,0
2013-04-25,0.001122947,-0.006578971,-0.002040527,0.025694302,0.002442278,0.018268689,0,0.010086683,0.001833032,0.002473573,0.003862228,-0.004262787,0,-0.001388407
2013-04-26,-0.004910034,0.006578971,-0.008202194,-0.001336011,0.002435174,-0.031631897,0,-0.003590701,-0.002750487,-0.00396049,-0.001102099,0.003836983,0,0.00277502
2013-04-29,0.003889116,0.034163812,0.011600483,0.007989541,0.00243041,0.01040931,0,0.002873806,0.007318885,0.009380382,0.007688239,0.002549627,0.000346188,0.000923276
2013-04-30,0.007428852,0.044617065,0.010124871,0.061716237,0.020183924,0.011764406,0.006779076,0.002865077,0.009526278,-0.002952551,0.00218588,0.000849383,0,0
2013-05-01,-0.013679027,-0.0376704,-0.008768845,-0.013810692,-0.00956074,-0.019933981,-0.003157675,-0.00934244,-0.005886613,-0.006427831,-0.009322728,0.002964393,0.00034531,0.001383416
2013-05-02,0.011954295,-0.003783107,0.037890744,0.002525263,0.00287774,0.00520635,0.003608591,0.002163924,0.003173753,0.009380382,0.008776831,0.002111818,0.000345771,0.000921931
2013-05-03,0.011109931,-0.003797473,0.018100281,-0.006325041,0.000479008,0.012532555,0.003146729,0.003595699,0.004967275,0.011238937,0.010323222,-0.012738891,-0.00138264,-0.003691267
2013-05-06,0.010988047,-0.001904158,0.007658012,-0.001269961,0.000957045,-0.000732791,0,0.000717739,0.002249485,0.002426248,0.002159976,-0.003424637,-0.001038884,-0.00184912
2013-05-07,0.008211687,-0.052832631,0.00886064,-0.007653244,-0.002873462,-0.015515793,0.002241653,-0.015179355,0,0.002904278,0.004842261,-0.000429962,0,-0.001390545
2013-05-08,0.004914279,-0.002011399,-0.011406866,-0.001281119,-0.00288217,0.045842764,0.008028699,0.011586074,0.004484686,0.005783186,0.004819725,0.003426544,0.000692188,0
2013-05-09,-0.00098077,0.038833441,-0.011538685,0.014004101,-0.00048117,-0.008571362,-0.000444702,0.004310175,-0.003585829,0.000960715,-0.003746659,0.001282058,-0.000692188,0.001390545
